clip_id	split	folder	cat	item	source	start	end	duration	n_words	text	ipa	low_share	has_digits	has_latin	asr_ok	tts_ok
57_166078_0001	train	bulletin_57	57	166078	57_166078_די אמעריקאנער מיליטער האט אינטערגענומען א פרישע רונדע באמבארדירונגן אק	3.7	13.25	9.55	30	די אמעריקאנער מיליטער האט אונטערגענומען א פרישע רונדע באמבארדירונגען קעגן איראן, א טאג נאכדעם וואס פרעזידענט טראמפ האט געווארנט אז ס'גייען קומען אטאקעס. לויט ווי די פרעסע אין איראן באריכטעט,	də amərˈikanər mˈilitər hut ˈintərɡənimən a frˈiʃə rˈində bambˈardirinɡən kejɡn irˈan, a tuɡ nuxdˈejm vus prəzidˈɛnt trɔmp hut ɡəvˈarnt az sɡˈajən kˈimən ˈatakəs. loʊt vi də prˈɛsə in irˈan barˈixtət,	0.2	False	False	True	True
57_166078_0002	train	bulletin_57	57	166078	57_166078_די אמעריקאנער מיליטער האט אינטערגענומען א פרישע רונדע באמבארדירונגן אק	13.2	19.75	6.55	20	זענען געהערט געווארן אויפרייסן ביי עטליכע פלעצער, אריינגערעכנט די פארט שטעט באנדאר אבאס און סיריק, און ביי די קאשים אינזל.	zˈɛnən ɡəhˈirt ɡəvˈɔrn ˈɔjfrajsn baː ˈɛtləxə plˈɛʦər, arˈaːnɡərəxnt də fɔrt ʃtɛt bandˈar ˈabəs in sˈirik, in baː də kˈaʃim inzl.	0.3	False	False	True	True
57_166078_0003	train	bulletin_57	57	166078	57_166078_די אמעריקאנער מיליטער האט אינטערגענומען א פרישע רונדע באמבארדירונגן אק	19.7	28.15	8.45	21	אין א קורצע סטעיטמענט זאגט סענטראל קאמאנד אז די אמעריקאנער מיליטער האט אונטערגענומען אטאקעס קעגן פארשידענע צילן פון די רעוואלוציאנערע גווארדיע.	in a kˈirʦə stajtmˈɛnt zuɡt sˈɛntral kˈamand az də amərˈikanər mˈilitər hut ˈintərɡənimən ˈatakəs kejɡn farʃˈidənə ʦiln fin də rˈɛvaliʦianərə ɡvˈardiə.	0.333	False	False	True	False
57_166078_0004	train	bulletin_57	57	166078	57_166078_די אמעריקאנער מיליטער האט אינטערגענומען א פרישע רונדע באמבארדירונגן אק	28.1	36.65	8.55	26	סענטראל קאמאנד זאגט אז די אטאקעס זענען געקומען אין רעאקציע צו די לעצטיגע אטאקע פרואוון דורך די גווארדיע קעגן קאמערשל שיפינג אין די הארמוז וואסער וועג,	sˈɛntral kˈamand zuɡt az də ˈatakəs zˈɛnən ɡəkˈimən in rˈɛakʦiə ʦi də lˈɛʦtiɡə ˈatakə frˈiavn dˈɔrəx də ɡvˈardiə kejɡn kˈamərʃl ʃˈifinɡ in də hˈarmiz vˈasər vejɡ,	0.385	False	False	True	False
57_166078_0005	train	bulletin_57	57	166078	57_166078_די אמעריקאנער מיליטער האט אינטערגענומען א פרישע רונדע באמבארדירונגן אק	36.6	39.4	2.8	7	און קעגן אמעריקאנער טרופן אין די ראיאן.	in kejɡn amərˈikanər trifn in də rˈaːan.	0.286	False	False	True	True
57_166079_0000	train	bulletin_57	57	166079	57_166079_אייראפעאישע באאמטע האבן אויסגעדרוקט אומצופרידענקייט פון אן אמעריקאנער	1.1	3.55	2.45	4	דינסטאג נצבים וילך, 1:30 נאכמיטאג.	dˈinstaɡ niʦˈuvim vaˈajiləx, nˈaxmitaɡ.	0.5	True	False	False	False
57_166079_0001	train	bulletin_57	57	166079	57_166079_אייראפעאישע באאמטע האבן אויסגעדרוקט אומצופרידענקייט פון אן אמעריקאנער	3.5	13.05	9.55	28	אייראפעאישע באאמטע האבן אויסגעדריקט אומצופרידנהייט פון אן אמעריקאנער באשלוס צו לאדענען דעם רוסישן פינאנץ מיניסטער פאר א G20 סאמיט וואס קומט פאר די יעצטיגע טעג אין עשוויל, נארט קאראליינע.	ˈajrafəaːʃə baˈamtə hubn ˈoʊzɡədrikt ˈimʦifridnhaːt fin un amərˈikanər baʃlˈis ʦi lˈadənən dejm rˈisiʃn finˈanʦ minˈistər far a sˈamit vus kimt far də jˈɛʦtiɡə tejɡ in ˈɛʃvil, nart kˈaralajnə.	0.393	True	True	False	False
57_166079_0002	train	bulletin_57	57	166079	57_166079_אייראפעאישע באאמטע האבן אויסגעדרוקט אומצופרידענקייט פון אן אמעריקאנער	13.0	22.85	9.85	31	אייראפעאישע באאמטע זאגן אז דאס לאדענען פינאנץ מיניסטער סילוואנאוו קען געבן די אנזען וויאזוי מ'איז גרייט צו נארמאליזירן די באציאונגען מיט מאסקווע, טראץ דעם וואס די מלחמה אין אוקראינע זעצט פאר.	ˈajrafəaːʃə baˈamtə zuɡn az dus lˈadənən finˈanʦ minˈistər sˈilvanav kɛn ɡejbn də ˈunzejn vizˈɔj miz ɡrajt ʦi nˈarmalizirn də baʦˈiinɡən mit mˈaskvə, traʦ dejm vus də milxˈumə in ˈikraːnə zɛʦt far.	0.323	False	False	True	False
57_166079_0003	train	bulletin_57	57	166079	57_166079_אייראפעאישע באאמטע האבן אויסגעדרוקט אומצופרידענקייט פון אן אמעריקאנער	22.8	31.95	9.15	34	זיי זאגן אז זיי זענען געווען אנטוישט אז ביים עפענונג פון די סאמיט, האט סילוואנאוו זיך דארט געפונען, די ערשטע מאל וואס ער קומט פערזענליך מיטהאלטן אזא סאמיט זייט די אנפאנג פון די מלחמה.	zaj zuɡn az zaj zˈɛnən ɡəvˈejn ˈantɔjʃt az bam ˈɛfəninɡ fin də sˈamit, hut sˈilvanav zix dɔrt ɡəfˈinən, də ˈɛrʃtə mul vus ɛr kimt fˈɛrzənləx mˈithaltn azˈa sˈamit zaːt də ˈanfanɡ fin də milxˈumə.	0.235	False	False	True	True
57_166079_0004	train	bulletin_57	57	166079	57_166079_אייראפעאישע באאמטע האבן אויסגעדרוקט אומצופרידענקייט פון אן אמעריקאנער	31.9	36.05	4.15	11	סילוואנאוו האט אויך געהאט א פריוואטע זיצונג מיט טרעזשורי סעקרעטאר בעסענט.	sˈilvanav hut ɔjx ɡəhˈat a frˈivatə zˈiʦinɡ mit trˈɛʒiri sˈɛkrətar bəsˈɛnt.	0.364	False	False	True	False
57_166079_0005	train	bulletin_57	57	166079	57_166079_אייראפעאישע באאמטע האבן אויסגעדרוקט אומצופרידענקייט פון אן אמעריקאנער	36.0	49.84	13.84	45	רוסישע באאמטע זאגן אז די צוויי האבן ארומגערעדט איבער פינאנציעלע פריינטשאפט צווישן די צוויי לענדער, אבער א קוואל נאנט צו בעסענט זאגט אז בעסענט האט קלאר געמאכט אז אמעריקע קען נישט נאכלאזן פון קיין שום סאנקציעס ביז ווילאנג די מלחמה קומט נישט צו קיין ענדע.	rˈisiʃə baˈamtə zuɡn az də ʦvaj hubn arˈimɡərədt ˈibər fˈinanʦiələ frˈajnʧaft ʦviʃn də ʦvaj lˈɛndər, ˈɔbər a kval nant ʦi bəsˈɛnt zuɡt az bəsˈɛnt hut klur ɡəmˈaxt az amˈɛrikə kɛn niʃt nˈaxlazn fin kan ʃim sˈankʦiəs biz vˈilanɡ də milxˈumə kimt niʃt ʦi kan ˈɛndə.	0.222	False	False	True	True
57_166080_0000	train	bulletin_57	57	166080	57_166080_עף-בי-איי דירעקטער קעש פאטעל האט אויפגענומען דעם ש ב הויפט זיני פאר א	1.2	11.05	9.85	27	"דינסטאג נצבים וילך, 1:50 נאכמיטאג. עף-בי-איי דירעקטאר קעש פאטעל האט אויפגענומען די שב""כ הויפט זוני פאר א זיצונג אין וואשינגטאן, די ערשטע באגעגעניש וואס זיי האבן."	dˈinstaɡ niʦˈuvim vaˈajiləx, nˈaxmitaɡ. ɛf bi aj dˈirəktar kɛʃ fˈatəl hut ˈoʊfɡənimən də ʃin bajs xuf hɔjft zˈini far a zˈiʦinɡ in vˈaʃinɡtan, də ˈɛrʃtə baɡəɡənˈiʃ vus zaj hubn.	0.407	True	False	False	False
57_166080_0001	train	bulletin_57	57	166080	57_166080_עף-בי-איי דירעקטער קעש פאטעל האט אויפגענומען דעם ש ב הויפט זיני פאר א	11.0	20.45	9.45	28	ווי פאטעל זאגט, איז די זיצונג געווען געווידמעט אויף געמיינזאמע ארבעט וואס קומט פאר צווישן אמעריקע און מדינת ישראל, איבערהויפט אין די פעלד פון קאנטער-טעראריזם און שפיאנאזש.	vi fˈatəl zuɡt, iz də zˈiʦinɡ ɡəvˈejn ɡəvˈidmət oʊf ɡəmˈajnzamə ˈarbət vus kimt far ʦviʃn amˈɛrikə in mdˈinas jisrˈuəl, ˈibərhɔjft in də fɛld fin kˈantər tərarˈizm in ʃpˈianaʒ.	0.286	False	False	True	True
57_166080_0002	train	bulletin_57	57	166080	57_166080_עף-בי-איי דירעקטער קעש פאטעל האט אויפגענומען דעם ש ב הויפט זיני פאר א	20.4	29.2	8.8	35	"זוני געפינט זיך אין אמעריקע פאר די ערשטע באזוך זייט ער איז געווארן אויפגענומען אלס די שב""כ הויפט פאר נאנט צו א יאר צוריק, און האט אין פלאן אפצוהאלטן זיצונגען מיט א צאל אמעריקאנער באאמטע."	zˈini ɡəfˈint zix in amˈɛrikə far də ˈɛrʃtə bazˈix zaːt ɛr iz ɡəvˈɔrn ˈoʊfɡənimən ˈalis də ʃin bajs xuf hɔjft far nant ʦi a jur ʦirˈik, in hut in plaːn ˈafʦihaltn zˈiʦinɡən mit a ʦal amərˈikanər baˈamtə.	0.286	False	False	True	True
57_166081_0000	train	bulletin_57	57	166081	57_166081_אמעריקע  טייל פון די פרישע רונדע באמבארדירונגן אויף איראן האט אריין גע	0.9	3.45	2.55	5	"דינסטאג, ד' סיון תשפ""ד, נאכמיטאג."	dˈinstaɡ, dˈalət sjin tuf ʃin paj dˈuləd, nˈaxmitaɡ.	0.8	False	False	True	False
57_166081_0001	train	bulletin_57	57	166081	57_166081_אמעריקע  טייל פון די פרישע רונדע באמבארדירונגן אויף איראן האט אריין גע	3.4	14.75	11.35	35	אמעריקאנער זיכערהייט קוועלער געבן איבער אז טייל פון די יעצטיגע פרישע רונדע באמבארדירונגען אויף איראן האט אריינגענומען אטאקעס אויף טאנקערס פון איראן'ס סטעיט אנגעפירטע אויל קאמפאני, א זאך וואס אמעריקע האט נישט געטון ביז היינט.	amərˈikanər zˈixərhaːt kvˈɛlər ɡejbn ˈibər az tajl fin də jˈɛʦtiɡə frˈiʃə rˈində bambˈardirinɡən oʊf irˈan hut arˈaːnɡənimən ˈatakəs oʊf tˈankərs fin ˈirans stajt ˈanɡəfirtə ɔjl kˈamfani, a zax vus amˈɛrikə hut niʃt ɡətˈin biz haːnt.	0.257	False	False	True	True
57_166081_0002	train	bulletin_57	57	166081	57_166081_אמעריקע  טייל פון די פרישע רונדע באמבארדירונגן אויף איראן האט אריין גע	14.7	21.95	7.25	25	זיי זאגן אז אונטער די נייע פאליסי גייט אמעריקע אטאקירן טאנקער שיפן פאר יעדע טאנקער שיף וואס איראן טוט אטאקירן אין די הארמוז וואסער וועג.	zaj zuɡn az ˈintər də nˈaːjə fˈalisi ɡajt amˈɛrikə ˈatakirn tˈankər ʃifn far jˈɛdə tˈankər ʃif vus irˈan tit ˈatakirn in də hˈarmiz vˈasər vejɡ.	0.32	False	False	True	False
57_166081_0003	train	bulletin_57	57	166081	57_166081_אמעריקע  טייל פון די פרישע רונדע באמבארדירונגן אויף איראן האט אריין גע	21.9	30.0	8.1	20	די יעצטיגע רונדע באמבארדירונגען האבן אויך אריינגענומען אטאקעס אויף לופט פארטיידיגונג סיסטעמס, ראדאר צענטערן, און אנטי-שיף קרוז מיסיל ארויסשיסערס.	də jˈɛʦtiɡə rˈində bambˈardirinɡən hubn ɔjx arˈaːnɡənimən ˈatakəs oʊf lift fartˈajdiɡinɡ sˈistəms, rˈadar ʦəntˈɛrn, in ˈanti ʃif kriz mˈisil arˈoʊsʃisərs.	0.45	False	False	True	False
57_166082_0000	train	bulletin_57	57	166082	57_166082_דריי קאנגרעס דעמאקראטן האבן ארויס געשטעלט א ביל צו שטערן פרעזידענט טרא	1.6	10.45	8.85	26	דינסטאג נאכמיטאג, פרשת וילך, 2:30 נאכמיטאג. דריי קאנגרעס דעמאקראטן האבן ארויסגעשטעלט א ביל צו שטערן פרעזידענט טראמפ פון טוישן די נאמען פון לעיק אנטעריא צו לעיק אמעריקע.	dˈinstaɡ nˈaxmitaɡ, pˈarʃis vaˈajiləx, nˈaxmitaɡ. draj kɔnɡrˈɛs dəmɔkrˈatn hubn arˈoʊzɡəʃtəlt a bil ʦi ʃtɛrn prəzidˈɛnt trɔmp fin toʊʃn də nˈumən fin lajk ˈantəria ʦi lajk amˈɛrikə.	0.231	True	False	False	False
57_166082_0001	train	bulletin_57	57	166082	57_166082_דריי קאנגרעס דעמאקראטן האבן ארויס געשטעלט א ביל צו שטערן פרעזידענט טרא	10.4	21.45	11.05	46	"די ביל, מיט די נאמען ""נעם אראפ די הענט פון אונזערע גרעיט לעיקס"", טוט פארבאטן די פעדעראלע רעגירונג פון טוישן די נעמען ביי איינע פון די פינף טייכן אונטער די גרעיט לעיקס, און צוריקדרייען די פארארדענונג אויף לעיק אנטעריא, וועלכע איז איינע פון די פינף טייכן."	də bil, mit də nˈumən nɛm arˈup də hɛnt fin ˈinzərə ɡrajt lajks tit farbˈatn də fˈɛdəralə rəɡˈirinɡ fin toʊʃn də nˈɛmən baː ˈajnə fin də finf tajxn ˈintər də ɡrajt lajks, in ʦirˈikdrajən də farˈardəninɡ oʊf lajk ˈantəria, vˈɛlxə iz ˈajnə fin də finf tajxn.	0.152	False	False	True	True
57_166082_0002	train	bulletin_57	57	166082	57_166082_דריי קאנגרעס דעמאקראטן האבן ארויס געשטעלט א ביל צו שטערן פרעזידענט טרא	21.4	32.52	11.12	42	קאנגרעספרוי דינגעל זאגט אז די גרעיט לעיקס איז אן אוצר וואס אמעריקע מיט קאנאדע טיילן זיך שוין הונדערטער יארן, און די פריינטשאפט וואס אמעריקע האט שוין אזויפיל יארן מיט קאנאדע איז נישט עפעס וואס מ'קען געבן א צושטערן בלויז אין אן אונטערשריפט.	kˈanɡrəsfrɔj dˈinɡəl zuɡt az də ɡrajt lajks iz un ˈɔjʦər vus amˈɛrikə mit kˈanadə tajln zix ʃɔjn hˈindərtər jurn, in də frˈajnʧaft vus amˈɛrikə hut ʃɔjn ˈazɔjfil jurn mit kˈanadə iz niʃt ˈɛpəs vus mˈɛkən ɡejbn a ʦˈiʃtərn blɔjz in un ˈintərʃrift.	0.167	False	False	True	True
57_166089_0000	train	bulletin_57	57	166089	57_166089_פרעזידענט טראמפ  אין פאל איראן גייט רעאגירן אויף די פרישע אמעריקאנער ב	1.2	4.25	3.05	6	דינסטאג נצבים וילך, דריי אזייגער נאכמיטאג.	dˈinstaɡ niʦˈuvim vaˈajiləx, draj ˈazajɡər nˈaxmitaɡ.	0.5	False	False	True	False
57_166089_0001	train	bulletin_57	57	166089	57_166089_פרעזידענט טראמפ  אין פאל איראן גייט רעאגירן אויף די פרישע אמעריקאנער ב	4.2	11.75	7.55	19	פרעזידענט טראמפ האט ארויסגעשטעלט א ווארענונג פאר איראן אז אין פאל איראן גייט רעאגירן אויף די פרישע אמעריקאנער באמבארדירונגען,	prəzidˈɛnt trɔmp hut arˈoʊzɡəʃtəlt a vˈarəninɡ far irˈan az in fal irˈan ɡajt rˈɛaɡirn oʊf də frˈiʃə amərˈikanər bambˈardirinɡən,	0.316	False	False	True	False
57_166089_0002	train	bulletin_57	57	166089	57_166089_פרעזידענט טראמפ  אין פאל איראן גייט רעאגירן אויף די פרישע אמעריקאנער ב	11.7	21.15	9.45	26	גייט אמעריקע צוריקענטפערן מיט נאך מער מאכט. טראמפ זאגט אז אמעריקאנער קרעפטן האבן אונטערגענומען גרויסע מאכטפולע אטאקעס אויף די איראנער ציל נעבן די הארמוז וואסער וועג,	ɡajt amˈɛrikə ʦirˈikəntfərn mit nux mɛr maxt. trɔmp zuɡt az amərˈikanər krɛftn hubn ˈintərɡənimən ɡrˈɔjsə mˈaxtfilə ˈatakəs oʊf də irˈanər ʦil nɛbn də hˈarmiz vˈasər vejɡ,	0.231	False	False	True	True
57_166089_0003	train	bulletin_57	57	166089	57_166089_פרעזידענט טראמפ  אין פאל איראן גייט רעאגירן אויף די פרישע אמעריקאנער ב	21.1	29.05	7.95	29	אלס א נקמה אויף דעם וואס איראן האט פרובירט אריינצושטעלן ים מינעס אין די הארמוז, און אויף דעם וואס איראן האט געשאסן מיסילס אויף אן אמעריקאנער באזע אין ירדן.	ˈalis a nkˈumə oʊf dejm vus irˈan hut prˈibirt arˈaːnʦiʃtəln jam mˈinəs in də hˈarmiz, in oʊf dejm vus irˈan hut ɡəʃˈasn mˈisils oʊf un amərˈikanər bazˈə in jardn.	0.207	False	False	True	True
57_166089_0004	train	bulletin_57	57	166089	57_166089_פרעזידענט טראמפ  אין פאל איראן גייט רעאגירן אויף די פרישע אמעריקאנער ב	29.0	36.65	7.65	24	טראמפ זאגט אז איראן איז דורכגעפאלן מיט די מינע פראבע וויבאלד די פרישע מינעס זענען געווארן ארויסגענומען פון ים אדער האט מען זיי אויפגעריסן.	trɔmp zuɡt az irˈan iz dˈirxɡəfaln mit də mˈinə frˈabə vˈibald də frˈiʃə mˈinəs zˈɛnən ɡəvˈɔrn arˈoʊzɡənimən fin jam ˈɔdər hut mɛn zaj ˈɔjfɡərisn.	0.125	False	False	True	True
57_166089_0005	train	bulletin_57	57	166089	57_166089_פרעזידענט טראמפ  אין פאל איראן גייט רעאגירן אויף די פרישע אמעריקאנער ב	36.6	46.25	9.65	32	ער האט דערביי צוגעלייגט א שארפע ווארענונג אז אויב איראן גייט נקמה נעמען, גייט אמעריקע רעאגירן נאך סאך שטערקער. און יענע רעאקציע וועט נאך אלץ נישט זיין די גרעסטע וואס אמעריקע קען.	ɛr hut dərbˈaː ʦˈiɡəlajɡt a ʃˈarfə vˈarəninɡ az ɔjb irˈan ɡajt nkˈumə nˈɛmən, ɡajt amˈɛrikə rˈɛaɡirn nux sax ʃtˈɛrkər. in jˈɛnə rˈɛakʦiə vɛt nux alʦ niʃt zaːn də ɡrˈɛstə vus amˈɛrikə kɛn.	0.219	False	False	True	True
57_166089_0006	train	bulletin_57	57	166089	57_166089_פרעזידענט טראמפ  אין פאל איראן גייט רעאגירן אויף די פרישע אמעריקאנער ב	46.2	54.25	8.05	24	ער האט געווארנט אז אויב איראן וועט טרייבן אמעריקע דורכצופירן גרעסערע אטאקעס, וועט עס פירן צו דעם אז ס'וועט נישט פארבלייבן צופיל פון איראן.	ɛr hut ɡəvˈarnt az ɔjb irˈan vɛt trajbn amˈɛrikə dˈirxʦifirn ɡrˈɛsərə ˈatakəs, vɛt ɛs firn ʦi dejm az svɛt niʃt farblˈaːbn ʦˈifil fin irˈan.	0.167	False	False	True	True
57_166089_0007	train	bulletin_57	57	166089	57_166089_פרעזידענט טראמפ  אין פאל איראן גייט רעאגירן אויף די פרישע אמעריקאנער ב	54.2	63.36	9.16	27	פון איראן'ס זייט איז דערווייל געקומען אן אנטווארט דורך א ווארטזאגער פאר די רעוואלוציאנערע גווארדיע, וועלכער האט געווארנט אז אמעריקע גייט חרטה האבן פאר די פרישע אטאקעס.	fin ˈirans zaːt iz dərvˈaːl ɡəkˈimən un ˈantvart dˈɔrəx a vˈartzaɡər far də rˈɛvaliʦianərə ɡvˈardiə, vˈɛlxər hut ɡəvˈarnt az amˈɛrikə ɡajt xarˈutə hubn far də frˈiʃə ˈatakəs.	0.333	False	False	True	False
57_166090_0000	train	bulletin_57	57	166090	57_166090_קאנגרעס האט געשטימט מיט אן איבערוויגענדע מערהייט אין שטיצע פון א קורץ-	0.9	4.25	3.35	6	מאנטאג נצבים וילך, דריי אזייגער נאכמיטאג.	mˈɔntik niʦˈuvim vaˈajiləx, draj ˈazajɡər nˈaxmitaɡ.	0.333	False	False	True	False
57_166090_0001	train	bulletin_57	57	166090	57_166090_קאנגרעס האט געשטימט מיט אן איבערוויגענדע מערהייט אין שטיצע פון א קורץ-	4.2	12.05	7.85	23	קאנגרעס האט געשטימט מיט אן איבערוועגנדע מערהייט אין שטיצע פון א קורץ-טערמיניגע ביל צו פארמיידן א רעגירונג פארשליסונג ענדע דעם חודש למספרם.	kɔnɡrˈɛs hut ɡəʃtˈimt mit un ˈibərvəɡndə mˈɛrhaːt in ʃtˈiʦə fin a kirʦ tˈɛrminiɡə bil ʦi farmˈajdn a rəɡˈirinɡ farʃlˈisinɡ ˈɛndə dejm xˈɔjdəʃ lmispˈurum.	0.261	False	False	True	True
57_166090_0002	train	bulletin_57	57	166090	57_166090_קאנגרעס האט געשטימט מיט אן איבערוויגענדע מערהייט אין שטיצע פון א קורץ-	12.0	20.85	8.85	25	דער ביל, וועלכע איז שוין פריער אריבער אינעם סענאט, איז באשטעטיגט געווארן מיט שטיצע פון 370 קעגן 48. ס'ווערט יעצט געשיקט צו פרעזידענט טראמפ פאר זיין אונטערשריפט.	dɛr bil, vˈɛlxə iz ʃɔjn frˈiər arˈibər ˈinəm sˈɛnat, iz baʃtˈɛtiɡt ɡəvˈɔrn mit ʃtˈiʦə fin kejɡn svirt jɛʦt ɡəʃˈikt ʦi prəzidˈɛnt trɔmp far zaːn ˈintərʃrift.	0.16	True	False	False	False
57_166090_0003	train	bulletin_57	57	166090	57_166090_קאנגרעס האט געשטימט מיט אן איבערוויגענדע מערהייט אין שטיצע פון א קורץ-	20.8	25.55	4.75	11	אונטער דעם ביל וועט די רעגירונג פינאנצירט ווערן ביז דעצעמבער 11 למספרם,	ˈintər dejm bil vɛt də rəɡˈirinɡ fˈinanʦirt virn biz dˈɛʦəmbər lmispˈurum,	0.182	True	False	False	False
