section	word	pointed	count	context	correct? (y/n)	correction
top-frequency	זאך	זאַך	1618	שבת בייטאג די זעלבע זאך נאכאמאל, האט ער געזאגט		
top-frequency	ר	רְ	1611	קומסטו אן צו א ר. אסתר פון דעם אלף		
top-frequency	עפעס	עֶפֶעס	1608	אז ער וויל זאגן עפעס א תורה אבער מען		
top-frequency	זיי	זֵיי	1587	מאן דא. יא, זאלן זיי כוישעד זיין אז עפעס		
top-frequency	קיין	קֵיין	1533	ער האט געוואלט טאן קיין עץ כלשהו איז אויסגעדרייט.		
top-frequency	מיין	מייַן	1504	וואס מיר האבן גערעדט. מיין טאטע זאל זיין געזונט,		
top-frequency	משה	מֹשֶׁה	1450	מען אן, ס'שטייט דאך, משה רבינו'ס נאמען אין די		
top-frequency	ביי	בַּייַ	1450	נישט זאגן פון הימל. ביי שלש סעודות האט ער		
top-frequency	קומט	קוּמְט	1441	דו האסט עס, עס קומט זיך דיין לוין. איך		
top-frequency	יידן	ייִדְן	1234	פאר יידן. און די תלמידים האבן		
top-frequency	מעשה	מַעֲשֶׂה	1197	האבן ווי א שיינע מעשה, קוק דא אריין א		
top-frequency	יעדער	יֶעדֶער	1142	געמנט משה רבינו'ס נאמען. יעדער וויוסט אז ס'איז פרשת		
top-frequency	אויך	אוֹיךְ	1131	ענינים וואָס איך פֿאַרשטיי אויך נישט, אָבער מיר וועלן		
top-frequency	געהאט	גֶעהאַט	1128	גרויסער גביר, ער האט געהאט א גוואלד מיט געלט,		
top-frequency	אייבערשטער	אֵייבֶּערְשְׁטֶער	1114	ער געמיינט, אז דער אייבערשטער זאל מאכן אזעלכע גאלדענע		
top-frequency	זייער	זֵייֶער	1102	כוח פון די שטיינער. זייער אינטערעסאַנט. און דער רבינו		
top-frequency	ווייל	ווייַל	1085	גיהנום קומט זיך אים, ווייל ער האט געהאלטן דער		
top-frequency	גאנצע	גאַנְצֶע	1077	בחיי האט דא א גאנצע אריכות אויף די אבני		
top-frequency	וויל	ווִיל	1056	ער געזאגט אז ער וויל זאגן א תורה אבער		
top-frequency	זי	זִי	1051	דער רבינו בחיי זאָגט זי זיך גלויבן דאָס וואָס		
top-frequency	דו	דוּ	1040	געלט, איך ברענג עס, דו האסט עס, עס קומט		
top-frequency	וואך	וואָך	1038	האט געזאגט, אז א וואך פריער, אין פרשת תרומה,		
top-frequency	טאטע	טאַטֶע	1025	מיר האבן גערעדט. מיין טאטע זאל זיין געזונט, א		
top-frequency	איינער	אֵיינֶער	1004	און אז עס קומט איינער מיט א דין תורה		
top-frequency	געמאכט	גֶעמַאַכְט	994	דארט, דער ס"מ האט געמאכט געוואלד, מען האט נישט		
top-frequency	ישראל	יִשְׂרָאֵל	980	א השפעה פאר כלל ישראל, כלל ישראל זאלן עס		
top-frequency	ניגון	נִיגּוּן	978	ער געהאט איבערגעלאזט א ניגון, איז דאך די חמורים		
top-frequency	מאל	מָאָל	953	די חזקה געהויבן דאס מאל אזוי כראָווע דאואוון, האט		
top-frequency	מענטש	מֶענְטְשׁ	945	אינטערעסע ווי פאר דעם מענטש וואס האט א דין		
top-frequency	אמאל	אַמָאָל	932	דער הייליגער חוזה האט אמאל געזאגט אהמ פרייטאג צו		
top-frequency	הייליגער	הֵיילִיגֶער	928	דער הייליגער חוזה האט אמאל געזאגט		
top-frequency	ביסל	בִּיסְל	928	זעקס ווערטער. ס'איז אַ ביסל איבערגעבלבן, על מנת אַרויפפּאַקן		
top-frequency	זעט	זֶעט	922	שליש. און דער ברידער זעט אז ער איז כוס		
top-frequency	מיינט	מֵיינְט	922	שטייט, יאָ? וווּ דאָס מיינט. מע זאָגט נאָר איבער,		
top-frequency	הייסט	הֵייסְט	917	דער זעלבער באשאפער, דאס הייסט ער איז אלט, ער		
top-frequency	געווארן	גֶעוואָרְן	909	און ער איז איינגעשלאפֿן געווארן, ער איז אויפֿגעשטאנען די		
top-frequency	ייד	ייִד	908	איז געווען עפעס א ייד וואס האט מורא געהאט		
top-frequency	געזען	גֶעזֶען	890	כוח. און איך האָב געזען אַ אינטערעסאַנטע פאַקט		
top-frequency	ווארט	וואָרְט	881	מען האט אויס איין ווארט, וואס מען האט נישט		
top-frequency	יאר	יאָר	876	פאר דאלארן זאלן גיין יאר שלמה׳ן רויצן מסתמא איז		
top-frequency	אוי	אוֹי	852	פרשת תצוה פרשת זכור. אוי קען מען רעדן א		
top-frequency	סא	סאָ	829	לוידאך מים מיין אידאך, סא דער מקלל פון דער		
top-frequency	מאכן	מאַכְן	829	"ועשית משבצות זהב", זאלסט מאכן גאלדענע קעסטעלעך. אזוי צו		
top-frequency	טאקע	טאַקֶע	826	און וואס איז פשט טאקע? האט ער געזאגט, אז		
top-frequency	גיין	גֵיין	824	מיין אז מען דארף גיין פארקויפן די שטיינער מאכן		
top-frequency	יעצט	יֶעצְט	806	האט ער געזאגט אז יעצט האט מען אים שוין		
top-frequency	מאכט	מאַכְט	804	פיין יסורים אים. קענסט מאכט ער, ער ווינט בכיות		
top-frequency	געוואלט	גֶעוואָלְט	802	אזוי ווי ער איז געוואלט דארטן זיין, ער האט		
top-frequency	יעקב	יַעֲקֹב	800	ועקדת יצחק לזרעו של יעקב היום ברחמים תזכור		
top-frequency	אדער	אָדֶער	797	דיוונשטיינס מער ווי יששכר'ס אדער איז וויל מער ווי		
top-frequency	דיר	דִיר	795	דיך אוועק, איך וועל דיר דערציילן א מעשה. דער		
top-frequency	אויפן	אוֹיפֿן	774	האט ער געשריבן דארט אויפן וואנט: "איך פינטשי קוטצן		
top-frequency	גמרא	גְּמָרָא	770	די גמרא וועגן די זעקס נעמען,		
top-frequency	פרשת	פָּרָשַׁת	761	בשם השם נעשה ונצליח פרשת תצוה פרשת זכור. מ'האלט		
top-frequency	ה	הַ	755	געענטפערט. דאס מאכט מכוח ה ווארט וואס מיינער טאטע		
top-frequency	פלעגט	פֿלֶעגְט	752	ר' אליקים מייזלס, ער פלעגט צוזאמננעמען געלט צו באקאנטע		
top-frequency	זאכן	זאַכְן	749	ס'איז דא א סך זאכן וואס מען רעדט פון		
top-frequency	ברענגט	בְּרֶענְגְט	741	וואס דער בני יששכר ברענגט. ער ברענגט, איך וועל		
top-frequency	סאך	סַאַךְ	741	וואך פון הוד א סאך פלעצער זאגט מען נישט		
top-frequency	כי	כִּי	738	מפחד פתאום ומשואת רשעים כי תבוא האבן זיך געשפירט		
top-frequency	צוויי	צְווֵיי	734	אַז אין גאָלס פעלט צוויי ווערטער פון דעם ברוך		
top-frequency	געבן	גֶעבְן	721	יידישע קינדערלעך פאר צו געבן די געלט פאר צדקה.		
top-frequency	ווייסט	ווֵייסְט	702	דער טאטע זאגט, ער ווייסט נישט די לעצטע יארן		
top-frequency	מענטשן	מֶענְטְשְׁן	695	איז גאָרנישט. אַ סך מענטשן איז מתפלל, שטימט, מען		
top-frequency	עולם	עוֹלָם	694	האָט זיך דער גאַנצער עולם פאר דעם סולטאן פאר		
top-frequency	בית	בֵּית	687	עזער, דער ראגאטשאווער, ייד בית איז דער הייליגער רב		
top-frequency	טאג	טאָג	685	זענען געווען צוויי דריי טאג, זענען זיי כמעט אויסגעעהונגערט		
top-frequency	קומען	קוּמֶען	684	גאָלע ווען סע וועט קומען		
top-frequency	גארנישט	גאָרנִישְׁט	676	פסוקים, אז די אטעאיסטן גארנישט קענען אנטקעגן די הייליגע		
top-frequency	אריין	אַרייַן	675	שיינע מעשה, קוק דא אריין א וואך. ביי דא		
top-frequency	אויב	אוֹיבּ	675	אויב איינער טראָגט אָס בטהמה		
top-frequency	איר	אִיר	674	נישט דער שטיין וואס איר האט מיר געוויזן נעכטן,		
top-frequency	געגאנגען	גֶעגַאַנְגֶען	656	האט געכאַפּט, ער איז געגאנגען אראפ פון דער וועלט		
top-frequency	געהערט	גֶעהֶערְט	631	און קיינער האט נישט געהערט. וועאין אויב איינער אזוי		
top-frequency	ווער	ווֶער	630	און מ'האט נישט געוואוסט ווער דאס איז. האבן זי		
top-frequency	בעל	בַּעַל	625	די אַנדערע. און דער בעל הטורים זאָגט, אַז די		
top-frequency	געלט	גֶעלְט	623	מייזלס, ער פלעגט צוזאמננעמען געלט צו באקאנטע דאס א		
top-frequency	יוסף	יוֹסֵף	623	דא א מדרש אז יוסף הצדיק האט געזוכט פא		
top-frequency	אברהם	אַבְרָהָם	622	מחלוקת פון די הייליגע אברהם		
top-frequency	וועגן	ווֶעגְן	618	די גמרא וועגן די זעקס נעמען, וואס		
top-frequency	לא	לֹא	613	אויף עפעס א דרך לא דרך, און עס איז		
top-frequency	בין	בִּין	602	שוין אלט חלילה. איך בין אבער אלץ דער זעלבער		
top-frequency	אלץ	אַלְץ	602	חלילה. איך בין אבער אלץ דער זעלבער באשאפער, דאס		
top-frequency	סך	סַךְ	596	קען מען רעדן א סך, א ים. תצוה... יא,		
top-frequency	צום	צוּם	594	רב איז אמאל אנגעקומען צום הייליגן שינאווער רב א		
top-frequency	וואלט	וואָלְט	591	געקומען ווי איינער וואס וואלט אריינגעטאנצן אין א אין		
top-frequency	געקומען	גֶעקוּמֶען	586	צדקה. און ווען זיך געקומען ווען מען האט אויסגעטיילט		
top-frequency	אפילו	אַפֿילוּ	585	אני ואציב ואני אסבול. אפילו דער אייבערשטער זאגט אפילו		
top-frequency	צדיקים	צַדִּיקִים	583	ליגט באַגראָבן דאָרטן פֿיל צדיקים האָבן געזאָגט וואָס מיר		
top-frequency	את	אֶת	580	איד וואס וויל לשבר את התאוה, יא? דאן רוצן		
top-frequency	רעדן	רֶעדְן	580	זכור. אוי קען מען רעדן א געוואלד, אוי קען		
top-frequency	צדיק	צַדִּיק	579	דער לאדזשער רב, זכר צדיק לברכה. איז, ס'איז דא		
top-frequency	גרויסע	גְרוֹיסֶע	578	פלעגט ארומלויפן פאר צוזאמננעמען גרויסע סכומים פאר פא פא		
top-frequency	ממש	מַמָּשׁ	562	מ'האט אפֿילו נישט געקענט, ממש א נייער מענטש. טאטעשי		
random-sample	מגילת	מְגִילַת	7	אַזוי אַזוי בראָנט מען. מגילת סתרינס שטייט אין זוהר,		
random-sample	שלעכטע	שְׁלֶעכְטֶע	60	האָט פֿאַרגעבן אויף די שלעכטע מחשבות וואָס אַ מענטש		
random-sample	ספרים	סְפָרִים	228	ער האט געזען ספרי ספרים של צדיקים, ער פלעגט		
random-sample	האלטער	הַאלְטֶער	6	וואס א ייד לערנט, האלטער אויף די וועלט. אם		
random-sample	אלמנה	אַלְמָנָה	21	האט געהאַט אַ פרוי אלמנה. בעט זיך אָפֿן דער		
random-sample	וואנט	וואַנְט	25	ער געשריבן דארט אויפן וואנט: "איך פינטשי קוטצן איז		
random-sample	רמזים	רְמָזִים	28	פאה. פארוואס? ס'איז דא רמזים בא שבועות וועגן דעם		
random-sample	הויכע	הוֹיכֶע	47	אז ס'האט זייער א הויכע רענדזש ס'הייבט זיך אן		
random-sample	געבלאזן	גֶעבְלָאָזְן	6	אלול מען האט שוין געבלאזן שופר די וואך, מען		
random-sample	הייליקע	הֵיילִיקֶע	65	פֿון די חשובֿים די הייליקע עסקנים איינע פֿון די		
random-sample	לינקער	לִינְקֶער	7	דער פינטעלע פון דער לינקער זייט שׂין עשר תעשר		
random-sample	אראפזעצן	אַראָפּזעצן	6	תחת, זי לאזט זיך אראפזעצן אזוי צו. אזוי פאר		
random-sample	הייצט	הייַצְט	5	זאלן זען אז ס'איז הייצט זיך דארט, מען זאל		
random-sample	פאסטעך	פּאַסְטֶעךְ	9	אויפבלאזן זייער ראוי, זייער פאסטעך, פארשטייסט? ויימסרי, מען האט		
random-sample	דינען	דִינֶען	77	געווען. האט מען געקענט דינען דעם אייבערשטן. דאס איז		
random-sample	כלום	כְּלוּם	8	"אם אין שלום אין כלום". אבער אויב ס'איז דא		
random-sample	ממון	מָמוֹן	12	אז סולם איז בגימטריא ממון, געלט, יא? באקאנטע זאך,		
random-sample	וואו	וואָוּ	184	וואך, אין פרשת אמור וואו מ'האט דא אלע ישועות		
random-sample	אור	אוֹר	194	סע וויל זאגן א אור החיים וועלן מיר זיין		
random-sample	ווארטן	וואַרטן	72	דברי המת, קענסטו אים ווארטן באגראבן, יא. קיצור,		
random-sample	געענדיקט	גֶעעֶנְדִיקְט	28	אַז ער יוצא איז געענדיקט דעם ספר חנוכה, זאת		
random-sample	פלאן	פּלאַן	26	אסתר'ן ציילן הויך אין פלאן. זי שיקט א סאך		
random-sample	בערל	בֶּערְל	10	אז דער גאון רבי בערל פראווארסקי, דער פאנעוועזשער ראש		
random-sample	מענטשנס	מֶענְטְשְׁנְס	8	מענטשנס איז גאָרנישט. אַ סך		
random-sample	גענומען	גֶענוּמֶען	216	ירושה איבערלאזן, האט ער גענומען אזא פראנאדל דארט, זיך		
random-sample	רבית	רִבִּית	9	דאס איז נעמען רבית. מען קען זיצן אין		
random-sample	פאל	פֿאַל	32	א פסק, אויף דעם פאל איז ער יא מתיר,		
random-sample	אנוש	אֱנוֹשׁ	6	יין, ויין ישמח לבב אנוש, זאל זיין א אמת׳דיג		
random-sample	זרעו	זַרְעוֹ	7	מטוב מצרים איז בגימטריא זרעו מיוחסים זקנים קדושים טהורים,		
random-sample	דעות	דֵּעוֹת	7	אַ מענטש האט פאַלשע דעות, אַ מענטש האט קרומע		
random-sample	שמחתנו	שִׂמְחָתֵנוּ	9	סא סוכות איז זמן שמחתנו. זמן שמחתנו קומען אראפ		
random-sample	בימה	בִּימָה	13	האט ער אָנגעקלאַפּט אויפֿן בימה, מוראי רבותי, איך האָב		
random-sample	געשאכטן	גֶעשָׁאָכְטְן	28	איין צונג צו שניידן, געשאכטן דריי שעפעלעך, אין יעדער		
random-sample	פניו	פָּנָיו	12	דער ערד, וואָרום על פניו אדמתו איז שטיי קיינער,		
random-sample	אוב	אוֹב	8	מנחם, דער אייבערשטער טרייסט אוב, די וואס דארפן ווערן		
random-sample	אויסגעגאנגען	אוֹיסְגֶעגַאנְגֶען	21	נעבן אים", איז ער אויסגעגאנגען.		
random-sample	זקנה	זִקְנָה	6	דריטע פסוק איז עד זקנה אני ואציב ואני אסבול.		
random-sample	הנסים	הַנִּסִּים	5	מען זאגט "רצה", "על הנסים", "יעלה ויבא". איז מסתמא		
random-sample	פשט	פְּשָׁט	423	האלט, וואס איז פשט האט דער רבי רב		
random-sample	רוזשין-ער	רוּזְשִין-עֶר	6			
random-sample	פסים	פַּסִים	6	ער גייט א כותנת פסים פאר יוסף, פאר וואס		
random-sample	יומא	יוֹמָא	41	דאָ ערב דעם הייליגן יומא דהילולא קדישא פון ר'		
random-sample	לבניך	לְבָנֶיךָ	7	קדוש, נ׳ איז ושננתם לבניך, ס׳ איז וישמעה רם		
random-sample	שיינען	שַׁיינֶען	12	טאנץ צו הויבן. זאלן שיינען דעם קאפ נעקסטע וואך		
random-sample	קין	קַיִן	17	פון די נחש, יא? קין מיט הבל, נח, האסטו		
random-sample	זכיה	זְכִיָּה	21	האט מיר געגעבן די זכיה, איז יעצט פאר פורים		
random-sample	מיילעך	מֵיילֶעךְ	42	לעולם ועד רב ר' מיילעך האָט געזאָגט אַז סע		
random-sample	נייעס	נַייַעס	29	נישט קיין אזעלכה גוטע נייעס פאר דיר, אז דיין		
random-sample	קרענק	קְרֶענְק	6	אים א פראגע, א קרענק פארעם		
random-sample	ראשון	רִאשׁוֹן	17	ערשטן פֿון די מקור ראשון, די מעשה, עס קען		
homograph	רב	רַב | רֶבּ				
homograph	רבי	רַבִּי | רֶבִּי				
homograph	אבר	אַבֶּר | אֵבֶר				
homograph	מצות	מִצְוֹת | מַצּוֹת				
homograph	עם	עַם | עִם				
homograph	דין	דִּין | דַּיָּן				
homograph	זון	זוּן | זוֹן				
homograph	חדש	חֹדֶשׁ | חָדָשׁ				
homograph	זכר	זֵכֶר | זָכָר				
homograph	עשר	עֶשֶׂר | עָשָׂר				
homograph	עז	עַז | עֶז				
homograph	פרי	פֿרִי | פְּרִי				
homograph	שבט	שֵׁבֶט | שְׁבָט				
homograph	מקים	מְקַיֵּם | מְקֻיָּם				
homograph	פארשטעלן	פֿאָרְשְׁטֶעלְן | פֿאַרְשְׁטֶעלְן				
homograph	מוסר	מוּסָר | מוֹסֵר				
homograph	מגלה	מְגַלֶּה | מְגִלָּה				
homograph	חיות	חַיּוֹת | חַיּוּת				
homograph	ביום	בַּיּוֹם | בְּיוֹם				
homograph	הא	הָא | הֵא				
homograph	רצון	רָצוֹן | רְצוֹן				
homograph	שכל	שֵׂכֶל | שֶׁכָּל				
homograph	פאסט	פּאַסְט | פֿאַסְט				
homograph	עמו	עִמּוֹ | עַמּוֹ				
homograph	דינים	דִּינִים | דַּיָּנִים				
homograph	דערמאנט	דֶערמַאַנְט | דֶערמָאנְט				
homograph	מדבר	מִדְבָּר | מְדַבֵּר				
homograph	ראיה	רְאָיָה | רְאִיָּה				
homograph	אבי	אַבִּי | אָבִי				
homograph	שני	שֵׁנִי | שְׁנֵי				
