rank,word,freq,reason,subtype,all_reasons,engine_ipa,engine_guess,candidates,question,verdict
54,געטאן,376,alef-default,alef-vowel,alef-default,ɡətˈan,geTAn,geTAn | geTUn,the unpointed א: geTAn (a as in 'father') or geTUn (u as in 'put')? — or an o (o as in 'law')?,
55,מלאכים,373,alef-default,alef-vowel,alef-default,mlˈaxim,MLAkhim,MLAkhim | MLUkhim,the unpointed א: MLAkhim (a as in 'father') or MLUkhim (u as in 'put')? — or an o (o as in 'law')?,
56,וואיל,370,alef-default,alef-vowel,alef-default,vaːl,val,val | vuyl,the unpointed א: val (a as in 'father') or vuyl (u as in 'put')? — or an o (o as in 'law')?,
57,אדם,361,alef-default,alef-vowel,alef-default,adm,adm,adm | udm,the unpointed א: adm (a as in 'father') or udm (u as in 'put')? — or an o (o as in 'law')?,
58,פינף,359,pe-default,pe-default,pe-default,finf,finf,finf | pinf,the פ: f (finf) or p (pinf)?,
59,אלף,351,alef-default,alef-vowel+pe-default,"alef-default,pe-default",alf,alf,alf | ulf,the unpointed א: alf (a as in 'father') or ulf (u as in 'put')? — or an o (o as in 'law')? the פ/ף — f or p?,
60,טאטן,344,alef-default,alef-vowel,alef-default,tatn,tatn,tatn | tutn,the unpointed א: tatn (a as in 'father') or tutn (u as in 'put')? — or an o (o as in 'law')?,
61,מחלוקת,341,oov-lk,oov-lk,lk-fallback,mxliks,mkhliks,mkhliks | mekhelikes,our guess: mkhliks — or mekhelikes? How do you say it?,
62,מלאך,340,alef-default,alef-vowel,alef-default,mlax,mlakh,mlakh | mlukh,the unpointed א: mlakh (a as in 'father') or mlukh (u as in 'put')? — or an o (o as in 'law')?,
63,פרוי,339,pe-default,pe-default,pe-default,frɔj,froy,froy | proy,the פ: f (froy) or p (proy)?,
64,נא,336,alef-default,alef-final,alef-default,na,na,ne | na | nu,"the א at the end: ne (…-e), na (…-a), nu (…-u) — or silent (na)?",
65,ולא,332,alef-default,alef-final,alef-default,ˈila,Ila,ile | ila | ilu | il,"the א at the end: ile (…-e), ila (…-a), ilu (…-u) — or silent (il)?",
66,כיפור,332,pe-default,pe-default,pe-default,xifˈir,khiFIr,khiFIr | khiPIr,the פ: f (khiFIr) or p (khiPIr)?,
67,אלימלך,330,alef-default,alef-vowel,alef-default,ˈalimlx,Alimlkh,Alimlkh | Ulimlkh,the unpointed א: Alimlkh (a as in 'father') or Ulimlkh (u as in 'put')? — or an o (o as in 'law')?,
68,פארציילן,327,alef-default,alef-vowel+pe-default,"alef-default,pe-default",farʦˈajln,faRTSAYln,faRTSAYln | FUrtsayln | PArtsayln,the unpointed א: faRTSAYln (a as in 'father') or FUrtsayln (u as in 'put')? — or an o (o as in 'law')? the פ: f (faRTSAYln) or p (PArtsayln)?,
69,האנט,322,alef-default,alef-vowel,alef-default,hant,hant,hant | hunt,the unpointed א: hant (a as in 'father') or hunt (u as in 'put')? — or an o (o as in 'law')?,
70,געטראפן,321,alef-default,alef-vowel+pe-default,"alef-default,pe-default",ɡətrˈafn,geTRAfn,geTRAfn | geTRUfn | geTRApn,the unpointed א: geTRAfn (a as in 'father') or geTRUfn (u as in 'put')? — or an o (o as in 'law')? the פ: f (geTRAfn) or p (geTRApn)?,
71,תיבות,317,oov-lk,oov-lk,lk-fallback,sˈibis,SIbis,SIbis | sibis,our guess: SIbis — or sibis? How do you say it?,
72,אני,313,alef-default,alef-vowel,alef-default,ˈani,Ani,Ani | Uni,the unpointed א: Ani (a as in 'father') or Uni (u as in 'put')? — or an o (o as in 'law')?,
73,פיש,311,pe-default,pe-default,pe-default,fiʃ,fish,fish | pish,the פ: f (fish) or p (pish)?,
74,חומש,310,oov-lk,oov-lk,lk-fallback,ximʃ,khimsh,khimsh | khimesh,our guess: khimsh — or khimesh? How do you say it?,
75,זכר,309,oov-lk,oov-lk,lk-fallback,zxr,zkhr,zkhr | zekher,our guess: zkhr — or zekher? How do you say it?,
76,חפץ,307,oov-lk,pe-default+oov-lk,"lk-fallback,pe-default",xfʦ,khfts,khfts | khpts | khefets,the פ: f (khfts) or p (khpts)? our guess: khfts — or khefets? How do you say it?,
77,טראכט,301,alef-default,alef-vowel,alef-default,traxt,trakht,trakht | trukht,the unpointed א: trakht (a as in 'father') or trukht (u as in 'put')? — or an o (o as in 'law')?,
78,קרבן,301,oov-lk,oov-lk,lk-fallback,krbn,krbn,krbn | kereben,our guess: krbn — or kereben? How do you say it?,
79,ראשי,300,alef-default,alef-vowel,alef-default,rˈaʃi,RAshi,RAshi | RUshi,the unpointed א: RAshi (a as in 'father') or RUshi (u as in 'put')? — or an o (o as in 'law')?,
80,פארגעסן,299,alef-default,alef-vowel+pe-default,"alef-default,pe-default",farɡˈɛsn,faRGEsn,faRGEsn | FUrgesn | PArgesn,the unpointed א: faRGEsn (a as in 'father') or FUrgesn (u as in 'put')? — or an o (o as in 'law')? the פ: f (faRGEsn) or p (PArgesn)?,
81,מוראדיק,296,alef-default,alef-vowel,alef-default,mˈiradik,MIradik,MIradik | MIrudik,the unpointed א: MIradik (a as in 'father') or MIrudik (u as in 'put')? — or an o (o as in 'law')?,
82,אויבן,293,alef-default,alef-silent,alef-default,ɔjbn,oybn,,we say **oybn** — right?,
83,געפארן,292,alef-default,alef-vowel+pe-default,"alef-default,pe-default",ɡəfˈarn,geFArn,geFArn | geFUrn | gePArn,the unpointed א: geFArn (a as in 'father') or geFUrn (u as in 'put')? — or an o (o as in 'law')? the פ: f (geFArn) or p (gePArn)?,
84,דארפסט,290,alef-default,alef-vowel+pe-default,"alef-default,pe-default",darfst,darfst,darfst | durfst | darpst,the unpointed א: darfst (a as in 'father') or durfst (u as in 'put')? — or an o (o as in 'law')? the פ: f (darfst) or p (darpst)?,
85,דארפסטו,290,alef-default,alef-vowel+pe-default,"alef-default,pe-default",dˈarfsti,DArfsti,DArfsti | DUrfsti | DArpsti,the unpointed א: DArfsti (a as in 'father') or DUrfsti (u as in 'put')? — or an o (o as in 'law')? the פ: f (DArfsti) or p (DArpsti)?,
86,משנה,289,oov-lk,oov-lk,lk-fallback,mʃnə,mshne,mshne | meshene,our guess: mshne — or meshene? How do you say it?,
87,נס,286,oov-lk,oov-lk,lk-fallback,ns,ns,ns | nes,our guess: ns — or nes? How do you say it?,
88,געשטאנען,283,alef-default,alef-vowel,alef-default,ɡəʃtˈanən,geSHTAnen,geSHTAnen | geSHTUnen,the unpointed א: geSHTAnen (a as in 'father') or geSHTUnen (u as in 'put')? — or an o (o as in 'law')?,
89,אליהו,280,alef-default,alef-vowel,alef-default,ˈalihi,Alihi,Alihi | Ulihi,the unpointed א: Alihi (a as in 'father') or Ulihi (u as in 'put')? — or an o (o as in 'law')?,
90,געטראכט,276,alef-default,alef-vowel,alef-default,ɡətrˈaxt,geTRAkht,geTRAkht | geTRUkht,the unpointed א: geTRAkht (a as in 'father') or geTRUkht (u as in 'put')? — or an o (o as in 'law')?,
91,אינטערעסאַנטע,274,alef-default,alef-silent,alef-default,ˈintərəsantə,Interesante,,we say **Interesante** — right?,
92,פארשטאנען,271,alef-default,alef-vowel+pe-default,"alef-default,pe-default",farʃtˈanən,faRSHTAnen,faRSHTAnen | FUrshtunen | PArshtanen,the unpointed א: faRSHTAnen (a as in 'father') or FUrshtunen (u as in 'put')? — or an o (o as in 'law')? the פ: f (faRSHTAnen) or p (PArshtanen)?,
93,קורח,269,oov-lk,oov-lk,lk-fallback,kirx,kirkh,kirkh | kirekh,our guess: kirkh — or kirekh? How do you say it?,
94,אלול,266,alef-default,alef-vowel,alef-default,ˈalil,Alil,Alil | Ulil,the unpointed א: Alil (a as in 'father') or Ulil (u as in 'put')? — or an o (o as in 'law')?,
95,פסוקים,265,pe-default,pe-default,pe-default,fsˈikim,FSIkim,FSIkim | PSIkim,the פ: f (FSIkim) or p (PSIkim)?,
96,גערופן,264,pe-default,pe-default,pe-default,ɡərˈifn,geRIfn,geRIfn | geRIpn,the פ: f (geRIfn) or p (geRIpn)?,
97,מוראדיג,260,alef-default,alef-vowel,alef-default,mˈiradiɡ,MIradig,MIradig | MIrudig,the unpointed א: MIradig (a as in 'father') or MIrudig (u as in 'put')? — or an o (o as in 'law')?,
98,אזויפיל,257,alef-default,alef-vowel+pe-default,"alef-default,pe-default",ˈazɔjfil,Azoyfil,Azoyfil | Uzoyfil | Azoypil,the unpointed א: Azoyfil (a as in 'father') or Uzoyfil (u as in 'put')? — or an o (o as in 'law')? the פ: f (Azoyfil) or p (Azoypil)?,
99,אריינגעקומען,255,alef-default,alef-vowel,alef-default,arˈaːnɡəkimən,aRAngekimen,aRAngekimen | Urayngekimen,the unpointed א: aRAngekimen (a as in 'father') or Urayngekimen (u as in 'put')? — or an o (o as in 'law')?,
100,הנאה,255,alef-default,alef-vowel,alef-default,hna,hna,,"the unpointed א — a, u or o?",
101,שלא,255,alef-default,alef-final,alef-default,ʃla,shla,shele | shela | shelu | shel,"the א at the end: shele (…-e), shela (…-a), shelu (…-u) — or silent (shel)?",
102,גאנצער,251,alef-default,alef-vowel,alef-default,ɡˈanʦər,GAntser,GAntser | GUntser,the unpointed א: GAntser (a as in 'father') or GUntser (u as in 'put')? — or an o (o as in 'law')?,
103,לאנגע,251,alef-default,alef-vowel,alef-default,lˈanɡə,LAnge,LAnge | LUnge,the unpointed א: LAnge (a as in 'father') or LUnge (u as in 'put')? — or an o (o as in 'law')?,
104,באקומט,250,alef-default,alef-vowel,alef-default,bakˈimt,baKImt,baKImt | BUkimt,the unpointed א: baKImt (a as in 'father') or BUkimt (u as in 'put')? — or an o (o as in 'law')?,
105,אמה,246,alef-default,alef-vowel,alef-default,ˈamə,Ame,Ame | Ume,the unpointed א: Ame (a as in 'father') or Ume (u as in 'put')? — or an o (o as in 'law')?,
106,שטאט,244,alef-default,alef-vowel,alef-default,ʃtat,shtat,shtat | shtut,the unpointed א: shtat (a as in 'father') or shtut (u as in 'put')? — or an o (o as in 'law')?,
107,פריער,241,pe-default,pe-default,pe-default,frˈiər,FRIEr,FRIEr | PRIEr,the פ: f (FRIEr) or p (PRIEr)?,
108,אליעזר,240,alef-default,alef-vowel,alef-default,ˈaliəzr,Aliezr,Aliezr | Uliezr,the unpointed א: Aliezr (a as in 'father') or Uliezr (u as in 'put')? — or an o (o as in 'law')?,
109,פעקל,239,pe-default,pe-default,pe-default,fɛkl,fekl,fekl | pekl,the פ: f (fekl) or p (pekl)?,
110,באקאנטער,238,alef-default,alef-vowel,alef-default,bakˈantər,baKAnter,baKAnter | BUkunter,the unpointed א: baKAnter (a as in 'father') or BUkunter (u as in 'put')? — or an o (o as in 'law')?,
111,אכט,232,alef-default,alef-vowel,alef-default,axt,akht,akht | ukht,the unpointed א: akht (a as in 'father') or ukht (u as in 'put')? — or an o (o as in 'law')?,
112,חסידישע,231,oov-lk,oov-lk,lk-fallback,xˈusidiʃə,KHUsidishe,KHUsidishe | khusidishe,our guess: KHUsidishe — or khusidishe? How do you say it?,
113,צאנזער,229,alef-default,alef-vowel,alef-default,ʦˈanzər,TSAnzer,TSAnzer | TSUnzer,the unpointed א: TSAnzer (a as in 'father') or TSUnzer (u as in 'put')? — or an o (o as in 'law')?,
114,אינטערעסאַנט,227,alef-default,alef-silent,alef-default,intərəsˈant,intereSAnt,,we say **intereSAnt** — right?,
115,שמואל,226,alef-default,alef-vowel,alef-default,ʃmˈial,SHMIAl,SHMIAl | SHMIUl,the unpointed א: SHMIAl (a as in 'father') or SHMIUl (u as in 'put')? — or an o (o as in 'law')?,
116,פרעה,221,pe-default,pe-default,pe-default,frə,fre,fre | pre,the פ: f (fre) or p (pre)?,
117,אלקים,220,alef-default,alef-vowel,alef-default,ˈalkim,Alkim,Alkim | Ulkim,the unpointed א: Alkim (a as in 'father') or Ulkim (u as in 'put')? — or an o (o as in 'law')?,
118,פייער,214,pe-default,pe-default,pe-default,fˈajər,FAYEr,FAYEr | PAYEr,the פ: f (FAYEr) or p (PAYEr)?,
119,פארשטעלן,213,alef-default,alef-vowel+pe-default,"alef-default,pe-default",farʃtˈɛln,faRSHTEln,faRSHTEln | FUrshteln | PArshteln,the unpointed א: faRSHTEln (a as in 'father') or FUrshteln (u as in 'put')? — or an o (o as in 'law')? the פ: f (faRSHTEln) or p (PArshteln)?,
120,אמרי,210,alef-default,alef-vowel,alef-default,ˈamri,Amri,Amri | Umri,the unpointed א: Amri (a as in 'father') or Umri (u as in 'put')? — or an o (o as in 'law')?,
121,קשיות,210,oov-lk,oov-lk,lk-fallback,kʃjis,kshyis,kshyis | keshyis,our guess: kshyis — or keshyis? How do you say it?,
122,יארצייטן,204,alef-default,alef-vowel,alef-default,jˈarʦajtn,yArtsaytn,yArtsaytn | yUrtsaytn,the unpointed א: yArtsaytn (a as in 'father') or yUrtsaytn (u as in 'put')? — or an o (o as in 'law')?,
123,ענטפערט,204,pe-default,pe-default,pe-default,ˈɛntfərt,Entfert,Entfert | Entpert,the פ: f (Entfert) or p (Entpert)?,
124,השפעות,202,oov-lk,pe-default+oov-lk,"lk-fallback,pe-default",hʃpˈɛis,HSHPEIs,HSHFEIs | HSHPEIs | heshepeis,the פ: f (HSHFEIs) or p (HSHPEIs)? our guess: HSHPEIs — or heshepeis? How do you say it?,
125,אונדז,201,alef-default,alef-silent,alef-default,indz,indz,,we say **indz** — right?,
126,אלעזר,201,alef-default,alef-vowel,alef-default,ˈaləzr,Alezr,Alezr | Ulezr,the unpointed א: Alezr (a as in 'father') or Ulezr (u as in 'put')? — or an o (o as in 'law')?,
127,סאטמארער,201,alef-default,alef-vowel,alef-default,sˈatmarər,SAtmarer,SAtmarer | SUtmurer,the unpointed א: SAtmarer (a as in 'father') or SUtmurer (u as in 'put')? — or an o (o as in 'law')?,
128,ארויסגעקומען,199,alef-default,alef-vowel,alef-default,arˈoʊzɡəkimən,aROUzgekimen,aROUzgekimen | Uroyzgekimen,the unpointed א: aROUzgekimen (a as in 'father') or Uroyzgekimen (u as in 'put')? — or an o (o as in 'law')?,
129,אריינגיין,198,alef-default,alef-vowel,alef-default,arˈaːnɡajn,aRAngayn,aRAngayn | Urayngayn,the unpointed א: aRAngayn (a as in 'father') or Urayngayn (u as in 'put')? — or an o (o as in 'law')?,
130,געוואלדיג,198,alef-default,alef-vowel,alef-default,ɡəvˈaldiɡ,geVAldig,geVAldig | geVUldig,the unpointed א: geVAldig (a as in 'father') or geVUldig (u as in 'put')? — or an o (o as in 'law')?,
131,הלכות,198,oov-lk,oov-lk,lk-fallback,hlxis,hlkhis,hlkhis | helekhis,our guess: hlkhis — or helekhis? How do you say it?,
132,שפעט,198,pe-default,pe-default,pe-default,ʃpɛt,shpet,shfet | shpet,the פ: f (shfet) or p (shpet)?,
133,צוואנציג,196,alef-default,alef-vowel,alef-default,ʦvˈanʦiɡ,TSVAntsig,TSVAntsig | TSVUntsig,the unpointed א: TSVAntsig (a as in 'father') or TSVUntsig (u as in 'put')? — or an o (o as in 'law')?,
134,האלב,194,alef-default,alef-vowel,alef-default,halb,halb,halb | hulb,the unpointed א: halb (a as in 'father') or hulb (u as in 'put')? — or an o (o as in 'law')?,
135,עפנט,191,pe-default,pe-default,pe-default,ɛfnt,efnt,efnt | epnt,the פ: f (efnt) or p (epnt)?,
136,קאן,185,alef-default,alef-vowel,alef-default,kan,kan,kan | kun,the unpointed א: kan (a as in 'father') or kun (u as in 'put')? — or an o (o as in 'law')?,
137,שופר,185,pe-default,pe-default,pe-default,ʃifr,shifr,shifr | shipr,the פ: f (shifr) or p (shipr)?,
138,גבאי,184,alef-default,alef-vowel,alef-default,ɡbaː,gba,gba | gbuy,the unpointed א: gba (a as in 'father') or gbuy (u as in 'put')? — or an o (o as in 'law')?,
139,ווארום,183,alef-default,alef-vowel,alef-default,vˈarim,VArim,VArim | VUrim,the unpointed א: VArim (a as in 'father') or VUrim (u as in 'put')? — or an o (o as in 'law')?,
140,אונזערע,182,alef-default,alef-silent,alef-default,ˈinzərə,Inzere,,we say **Inzere** — right?,
141,גאולה,182,alef-default,alef-vowel,alef-default,ɡˈilə,GIle,GAIle | GUIle,the unpointed א: GAIle (a as in 'father') or GUIle (u as in 'put')? — or an o (o as in 'law')?,
142,פארקערט,182,alef-default,alef-vowel+pe-default,"alef-default,pe-default",farkˈɛrt,faRKErt,faRKErt | FUrkert | PArkert,the unpointed א: faRKErt (a as in 'father') or FUrkert (u as in 'put')? — or an o (o as in 'law')? the פ: f (faRKErt) or p (PArkert)?,
143,אב,181,alef-default,alef-vowel,alef-default,ab,ab,ab | ub,the unpointed א: ab (a as in 'father') or ub (u as in 'put')? — or an o (o as in 'law')?,
144,תוספות,180,oov-lk,pe-default+oov-lk,"lk-fallback,pe-default",sˈisfis,SIsfis,SIsfis | SIspis | sisefis,the פ: f (SIsfis) or p (SIspis)? our guess: SIsfis — or sisefis? How do you say it?,
145,פיס,179,pe-default,pe-default,pe-default,fis,fis,fis | pis,the פ: f (fis) or p (pis)?,
146,פי,175,pe-default,pe-default,pe-default,fi,fi,fi | pi,the פ: f (fi) or p (pi)?,
147,חילוק,174,oov-lk,oov-lk,lk-fallback,xˈilik,KHIlik,KHIlik | khilik,our guess: KHIlik — or khilik? How do you say it?,
148,דאם,173,alef-default,alef-vowel,alef-default,dam,dam,dam | dum,the unpointed א: dam (a as in 'father') or dum (u as in 'put')? — or an o (o as in 'law')?,
149,לשם,173,oov-lk,oov-lk,lk-fallback,lʃm,lshm,lshm | leshem,our guess: lshm — or leshem? How do you say it?,
150,הנביא,172,alef-default,alef-final,alef-default,hnbˈia,HNBIA,hnbie | hnbia | hnbiu | hnbi,"the א at the end: hnbie (…-e), hnbia (…-a), hnbiu (…-u) — or silent (hnbi)?",
151,חיות,172,oov-lk,oov-lk,lk-fallback,xjis,khyis,khyis,our guess: khyis? How do you say it?,
152,באב,171,alef-default,alef-vowel,alef-default,bab,bab,bab | bub,the unpointed א: bab (a as in 'father') or bub (u as in 'put')? — or an o (o as in 'law')?,
153,תולדות,169,oov-lk,oov-lk,lk-fallback,sˈildis,SIldis,SIldis | siledis,our guess: SIldis — or siledis? How do you say it?,
154,תפילין,169,oov-lk,pe-default+oov-lk,"lk-fallback,pe-default",sfˈilin,SFIlin,SFIlin | SPIlin | sefilin,the פ: f (SFIlin) or p (SPIlin)? our guess: SFIlin — or sefilin? How do you say it?,
155,אודאי,168,alef-default,alef-vowel,alef-default,ˈidaː,Ida,Ida | Iduy,the unpointed א: Ida (a as in 'father') or Iduy (u as in 'put')? — or an o (o as in 'law')?,
156,אלטער,166,alef-default,alef-vowel,alef-default,ˈaltər,Alter,Alter | Ulter,the unpointed א: Alter (a as in 'father') or Ulter (u as in 'put')? — or an o (o as in 'law')?,
157,דבר,165,oov-lk,oov-lk,lk-fallback,dbr,dbr,dbr | deber,our guess: dbr — or deber? How do you say it?,
158,איציקל,164,alef-default,alef-silent,alef-default,ˈiʦikl,Itsikl,,we say **Itsikl** — right?,
159,הבא,164,alef-default,alef-final,alef-default,hba,hba,have | hava | havu | hav,"the א at the end: have (…-e), hava (…-a), havu (…-u) — or silent (hav)?",
